,International plan,Voice mail plan,State_AK,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY,Account length,Number vmail messages,Total day calls,Total eve calls,Total night calls,Total intl calls,Customer service calls,average day charge,average eve charge,average night charge,average intl charge,Area_code_408,Area_code_415,Area_code_510,Churn
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6921633186157149,1.2475083816833452,0.4848677513166816,-0.05078122796680547,-0.4690310420306926,-0.5975267343143399,-0.42917241045590593,-0.27682172626040286,0.01490026791963677,0.40266561386912825,-0.07061392714962188,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16127782725999495,1.3209852583528354,1.1353747201214486,0.14765446827284892,0.149053609971034,-0.5975267343143399,-0.42917241045590593,0.5329522609891272,0.005520894467214712,-0.4521646267211959,-0.07675242834272221,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9196856720538805,-0.5894135350539065,0.6850237417181483,0.49491693669224407,0.20056066430451122,0.21689365100367133,-1.1919548413062027,-0.17089734200279053,0.04110628746030164,-1.0987294469487343,-0.04300000080983928,0,1,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.420168187081984,-0.5894135350539065,-1.4666531550976192,-0.596479392625855,-0.572045150697647,1.0313140363216826,0.3336100203943908,-0.11837383081990005,0.05050320822316811,0.1832439063701884,-0.04509431544797009,1,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6476905405201497,-0.5894135350539065,0.6349847441177816,1.0902240254112072,1.076180587973624,-0.5975267343143399,1.0963924512446874,-0.09509263489734907,-0.01579738820089515,0.19154613740338367,-0.09557266826442222,0,1,0,0
5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43936070368441965,-0.5894135350539065,-0.11560021988771861,0.04843662015302173,0.9216594249731922,0.6241038436626769,-1.1919548413062027,-0.19603695231503054,0.026562014331040325,-1.319673344987676,-0.05725365984698933,0,0,1,0
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5152014881638083,1.174031505013855,-0.6159901958913855,0.3956990885724169,0.9216594249731922,1.0313140363216826,1.0963924512446874,0.7365382090847706,0.029770427215696723,-0.8338045535320217,-0.12655593309658686,0,0,1,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1724882869851758,-0.5894135350539065,-1.0663411742946856,-0.29882584826637343,-0.21149577036330652,0.6241038436626769,-1.1919548413062027,0.10992689320675178,0.06231409154699601,0.31658662268481363,-0.10610213717222833,0,1,0,0
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0208067180263987,2.129230901717226,-0.8161461862928522,0.5445258607521577,-0.1599887160298293,0.21689365100367133,-1.1919548413062027,0.3742696332660215,0.021054440315182117,-0.346241757173139,-0.04053120607085302,0,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6729708020132792,-0.5894135350539065,1.3355307105229153,2.380056050968961,-0.31450987903026095,0.21689365100367133,-1.1919548413062027,-0.07215563347684954,0.013619810164196328,0.028084433051451703,-0.0983120422892157,0,1,0,0
